Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
2.780000e+01, 4.436112e-10, 2.742242e-09, 2.071250e-20, 2.166315e-20, -8.200799e-22, -1.711257e+02, 2.777892e-09, 1.462202e-10, 1.410416e+00, 5.216099e-02, 4.380606e-02 
2.790000e+01, 3.885812e-10, 2.902661e-09, 2.160215e-20, 2.087635e-20, 1.235498e-21, -1.706669e+02, 2.928555e-09, 1.456506e-10, 1.437717e+00, 4.979356e-02, -6.061644e-02 
2.800000e+01, 4.393070e-10, 2.812363e-09, 3.022765e-20, 2.604989e-20, -4.551250e-21, -1.709139e+02, 2.846467e-09, 1.573576e-10, 1.415843e+00, 6.236778e-02, 1.323553e-01 
2.810000e+01, 3.790231e-10, 2.741835e-09, 3.287816e-20, 2.333323e-20, -4.359917e-21, -1.711570e+02, 2.767909e-09, 1.494303e-10, 1.433430e+00, 6.650169e-02, 1.054940e-01 
2.820000e+01, 3.364791e-10, 2.745968e-09, 1.960735e-20, 2.293441e-20, 8.059723e-22, -1.711614e+02, 2.766507e-09, 1.519203e-10, 1.448868e+00, 5.042683e-02, -1.795213e-02 
2.830000e+01, 4.797472e-10, 2.851747e-09, 2.287372e-20, 2.228436e-20, 2.648978e-21, -1.707766e+02, 2.891819e-09, 1.522082e-10, 1.404128e+00, 5.128011e-02, -1.151718e-01 
2.840000e+01, 3.411741e-10, 2.754385e-09, 2.448464e-20, 2.207231e-20, -1.846963e-21, -1.711334e+02, 2.775434e-09, 1.471670e-10, 1.447558e+00, 5.685366e-02, 6.445843e-02 
2.850000e+01, 4.531351e-10, 2.766154e-09, 2.665037e-20, 2.348023e-20, 3.169931e-21, -1.710475e+02, 2.803023e-09, 1.567625e-10, 1.408424e+00, 5.703227e-02, -1.400606e-01 
2.860000e+01, 3.545746e-10, 2.797176e-09, 2.906330e-20, 2.446785e-20, 2.099569e-21, -1.709964e+02, 2.819560e-09, 1.583174e-10, 1.444707e+00, 5.983946e-02, -9.757897e-02 
2.870000e+01, 4.253380e-10, 2.727567e-09, 2.427546e-20, 2.288404e-20, 4.158379e-22, -1.711801e+02, 2.760531e-09, 1.518015e-10, 1.416102e+00, 5.625463e-02, -2.578817e-02 
2.880000e+01, 3.968351e-10, 2.704500e-09, 2.509771e-20, 2.201923e-20, 1.370851e-21, -1.712657e+02, 2.733459e-09, 1.499264e-10, 1.425105e+00, 5.742474e-02, -7.458483e-02 
2.890000e+01, 2.881342e-10, 2.719849e-09, 2.448991e-20, 2.269085e-20, -1.849484e-23, -1.712606e+02, 2.735069e-09, 1.506882e-10, 1.465252e+00, 5.719824e-02, -7.227868e-03 
2.900000e+01, 1.784242e-10, 2.732719e-09, 2.680240e-20, 2.430860e-20, 7.756677e-22, -1.712496e+02, 2.738538e-09, 1.562691e-10, 1.505597e+00, 5.965727e-02, -3.647499e-02 
2.910000e+01, 2.326592e-10, 2.755477e-09, 3.647689e-20, 2.566418e-20, -1.762686e-21, -1.711652e+02, 2.765282e-09, 1.595154e-10, 1.486561e+00, 6.927386e-02, 2.720224e-02 
2.920000e+01, 2.146839e-10, 2.834315e-09, 3.685499e-20, 2.345878e-20, 1.966721e-21, -1.709262e+02, 2.842434e-09, 1.543743e-10, 1.495196e+00, 6.719716e-02, -1.001553e-01 
2.930000e+01, 1.847473e-10, 2.800551e-09, 2.317396e-20, 2.743527e-20, -1.516087e-22, -1.710363e+02, 2.806638e-09, 1.655201e-10, 1.504924e+00, 5.428415e-02, 1.705878e-02 
2.940000e+01, 1.280439e-10, 2.837325e-09, 3.828614e-20, 2.532227e-20, 4.773903e-21, -1.709330e+02, 2.840213e-09, 1.605572e-10, 1.525699e+00, 6.848037e-02, -1.709464e-01 
2.950000e+01, 1.483880e-10, 2.904281e-09, 3.666424e-20, 2.540805e-20, 3.528402e-21, -1.707279e+02, 2.908069e-09, 1.606144e-10, 1.519748e+00, 6.549390e-02, -1.334927e-01 
2.960000e+01, 1.599163e-10, 2.808018e-09, 4.745749e-20, 2.576863e-20, 6.417499e-21, -1.710179e+02, 2.812568e-09, 1.629949e-10, 1.513908e+00, 7.680044e-02, -2.160646e-01 
2.970000e+01, 1.171557e-10, 2.881578e-09, 2.537879e-20, 2.720801e-20, 2.343459e-21, -1.708002e+02, 2.883959e-09, 1.655151e-10, 1.530162e+00, 5.503495e-02, -8.608492e-02 
2.980000e+01, 1.686322e-11, 3.021213e-09, 2.881097e-20, 2.605395e-20, 1.456474e-21, -1.703962e+02, 3.021260e-09, 1.614630e-10, 1.565215e+00, 5.616524e-02, -5.371699e-02 
2.990000e+01, -4.912081e-12, 3.047918e-09, 2.570938e-20, 2.622081e-20, 9.527671e-22, -1.703199e+02, 3.047922e-09, 1.619189e-10, 1.572408e+00, 5.260995e-02, -3.672744e-02 
3.000000e+01, 1.878043e-11, 2.931410e-09, 3.755306e-20, 2.831717e-20, 4.636115e-21, -1.706583e+02, 2.931470e-09, 1.684546e-10, 1.564390e+00, 6.605280e-02, -1.439352e-01 
3.010000e+01, 1.817629e-11, 3.023042e-09, 2.643983e-20, 4.838701e-20, 1.291092e-21, -1.703910e+02, 3.023097e-09, 2.200040e-10, 1.564784e+00, 5.377201e-02, -3.240867e-02 
3.020000e+01, 6.694909e-11, 3.144508e-09, 3.443010e-20, 3.195669e-20, 6.933546e-21, -1.700470e+02, 3.145221e-09, 1.795910e-10, 1.549509e+00, 5.874104e-02, -2.103642e-01 
3.030000e+01, -2.939230e-11, 3.111927e-09, 3.479951e-20, 3.351495e-20, -6.406305e-21, -1.701390e+02, 3.112066e-09, 1.834014e-10, 1.580241e+00, 5.983850e-02, 1.878970e-01 
3.040000e+01, 3.237328e-12, 3.311356e-09, 3.123113e-20, 3.107325e-20, 3.483925e-21, -1.695999e+02, 3.311358e-09, 1.762954e-10, 1.569819e+00, 5.336302e-02, -1.118407e-01 
3.050000e+01, 5.005007e-11, 3.260732e-09, 4.267609e-20, 2.978569e-20, 2.357804e-23, -1.697327e+02, 3.261116e-09, 1.725962e-10, 1.555448e+00, 6.334421e-02, -6.209159e-03 
3.060000e+01, 1.071582e-10, 3.307346e-09, 3.649246e-20, 2.801564e-20, 9.838024e-22, -1.696059e+02, 3.309082e-09, 1.675954e-10, 1.538408e+00, 5.767158e-02, -3.927291e-02 
3.070000e+01, 3.168555e-11, 3.298840e-09, 3.068765e-20, 3.533137e-20, 2.534347e-21, -1.696324e+02, 3.298992e-09, 1.880947e-10, 1.561192e+00, 5.305897e-02, -7.560615e-02 
3.080000e+01, 5.844625e-11, 3.334728e-09, 4.694270e-20, 3.155902e-20, 9.631260e-21, -1.695375e+02, 3.335240e-09, 1.786092e-10, 1.553272e+00, 6.472440e-02, -2.566326e-01 
3.090000e+01, 7.227209e-11, 3.377105e-09, 4.915757e-20, 4.504499e-20, 1.831336e-20, -1.694271e+02, 3.377878e-09, 2.140802e-10, 1.549399e+00, 6.511094e-02, -3.904620e-01 
3.100000e+01, 9.762556e-11, 3.456273e-09, 6.825043e-20, 2.773068e-20, 3.199673e-21, -1.692244e+02, 3.457651e-09, 1.671634e-10, 1.542558e+00, 7.543849e-02, -9.949284e-02 
3.110000e+01, 2.604152e-11, 3.475449e-09, 3.238800e-20, 3.117998e-20, 6.140847e-21, -1.691795e+02, 3.475547e-09, 1.768391e-10, 1.563303e+00, 5.170716e-02, -1.934938e-01 
3.120000e+01, 4.004994e-11, 3.486130e-09, 5.344510e-20, 3.039422e-20, 1.002504e-20, -1.691526e+02, 3.486360e-09, 1.750074e-10, 1.559308e+00, 6.616549e-02, -2.548215e-01 
3.130000e+01, 1.652242e-10, 3.444535e-09, 4.574833e-20, 2.788136e-20, 2.353797e-21, -1.692474e+02, 3.448495e-09, 1.677727e-10, 1.522866e+00, 6.184296e-02, -8.938076e-02 
