Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
9.050000e+01, 1.227820e-08, -3.712866e-10, 5.544161e-18, 5.452489e-18, 1.075597e-19, -1.582133e+02, 1.228381e-08, 2.353206e-09, -3.023029e-02, 1.902069e-01, 2.003075e-02 
9.060000e+01, 1.199485e-08, 5.506925e-10, 5.596455e-18, 5.748890e-18, -7.253875e-20, -1.584110e+02, 1.200748e-08, 2.364345e-09, 4.587853e-02, 1.997923e-01, -1.150372e-02 
9.070000e+01, 1.254475e-08, 4.007337e-11, 6.002093e-18, 5.970933e-18, 3.908295e-19, -1.580307e+02, 1.254481e-08, 2.450426e-09, 3.194423e-03, 1.947449e-01, 6.526734e-02 
9.080000e+01, 1.167964e-08, -4.282986e-10, 5.157846e-18, 5.481125e-18, 2.827385e-20, -1.586456e+02, 1.168749e-08, 2.270729e-09, -3.665411e-02, 2.003450e-01, 3.076751e-03 
9.090000e+01, 1.185111e-08, -1.217427e-10, 5.407046e-18, 5.210062e-18, -6.343041e-20, -1.585244e+02, 1.185174e-08, 2.325581e-09, -1.027232e-02, 1.925689e-01, -1.156709e-02 
9.100000e+01, 1.273526e-08, 7.538741e-10, 5.656890e-18, 5.735758e-18, 1.961479e-19, -1.578847e+02, 1.275755e-08, 2.383339e-09, 5.912682e-02, 1.873440e-01, 3.501051e-02 
9.110000e+01, 1.298630e-08, 3.654468e-10, 6.465325e-18, 6.487469e-18, 6.160543e-20, -1.577269e+02, 1.299144e-08, 2.543385e-09, 2.813352e-02, 1.960035e-01, 9.593395e-03 
9.120000e+01, 1.261678e-08, 5.591546e-10, 6.156129e-18, 6.076043e-18, -4.228024e-20, -1.579725e+02, 1.262916e-08, 2.480369e-09, 4.428935e-02, 1.952428e-01, -7.465166e-03 
9.130000e+01, 1.225296e-08, 6.446634e-10, 5.688960e-18, 5.795709e-18, 7.110547e-20, -1.582232e+02, 1.226991e-08, 2.386779e-09, 5.256441e-02, 1.960745e-01, 1.329010e-02 
9.140000e+01, 1.187755e-08, 1.361035e-10, 5.357016e-18, 5.221741e-18, 2.091622e-19, -1.585049e+02, 1.187833e-08, 2.315554e-09, 1.145839e-02, 1.922886e-01, 3.924409e-02 
9.150000e+01, 1.205481e-08, 3.709080e-10, 6.063088e-18, 5.809609e-18, 8.701348e-20, -1.583727e+02, 1.206051e-08, 2.463371e-09, 3.075876e-02, 1.997637e-01, 1.332075e-02 
9.160000e+01, 1.128087e-08, 8.780363e-10, 5.797787e-18, 5.916534e-18, 1.285603e-19, -1.589269e+02, 1.131499e-08, 2.412135e-09, 7.767749e-02, 2.145961e-01, 2.325391e-02 
9.170000e+01, 1.203972e-08, 6.795950e-10, 6.189731e-18, 6.038913e-18, 9.511323e-20, -1.583739e+02, 1.205888e-08, 2.489971e-09, 5.638625e-02, 2.036124e-01, 1.407048e-02 
9.180000e+01, 1.155707e-08, 5.354694e-10, 5.559453e-18, 5.468262e-18, 4.728970e-20, -1.587337e+02, 1.156947e-08, 2.358735e-09, 4.629951e-02, 2.020437e-01, 7.775460e-03 
9.190000e+01, 1.279121e-08, 7.847929e-10, 6.154852e-18, 6.221965e-18, -6.832084e-20, -1.578454e+02, 1.281526e-08, 2.479264e-09, 6.127727e-02, 1.947685e-01, -1.029467e-02 
9.200000e+01, 1.211092e-08, 6.382225e-10, 6.191892e-18, 6.600970e-18, -1.318187e-19, -1.583244e+02, 1.212772e-08, 2.485794e-09, 5.264940e-02, 2.120521e-01, -1.714299e-02 
