Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
4.520000e+01, 5.323095e-09, -2.210682e-09, 1.795040e-19, 1.761772e-19, -1.208698e-22, -1.647857e+02, 5.763892e-09, 4.232024e-10, -3.936262e-01, 7.290479e-02, 6.146507e-03 
4.530000e+01, 5.283137e-09, -2.179345e-09, 1.837185e-19, 1.726640e-19, -6.362624e-23, -1.648597e+02, 5.714987e-09, 4.267972e-10, -3.912438e-01, 7.303685e-02, 2.162169e-02 
4.540000e+01, 5.416397e-09, -2.157601e-09, 1.935053e-19, 1.845073e-19, -3.684832e-21, -1.646862e+02, 5.830317e-09, 4.413691e-10, -3.790798e-01, 7.341378e-02, 2.212000e-03 
4.550000e+01, 5.493789e-09, -2.188804e-09, 1.748188e-19, 1.893027e-19, -8.090760e-21, -1.645627e+02, 5.913762e-09, 4.270442e-10, -3.791386e-01, 7.209067e-02, -5.961838e-02 
4.560000e+01, 5.533958e-09, -1.923914e-09, 1.888377e-19, 1.838124e-19, 7.066718e-21, -1.646438e+02, 5.858851e-09, 4.288497e-10, -3.345851e-01, 7.415104e-02, 3.811601e-02 
4.570000e+01, 5.442206e-09, -2.183091e-09, 1.882846e-19, 1.991416e-19, 1.401533e-20, -1.646365e+02, 5.863744e-09, 4.243864e-10, -3.814895e-01, 7.765119e-02, 3.300909e-02 
4.580000e+01, 5.291588e-09, -1.766097e-09, 1.773485e-19, 1.839624e-19, -5.478146e-21, -1.650696e+02, 5.578530e-09, 4.257953e-10, -3.221305e-01, 7.605498e-02, -3.523967e-02 
4.590000e+01, 5.554011e-09, -2.076308e-09, 1.857621e-19, 1.757819e-19, -4.800960e-21, -1.645397e+02, 5.929426e-09, 4.332295e-10, -3.577527e-01, 7.032059e-02, -1.938003e-03 
4.600000e+01, 5.376617e-09, -2.030201e-09, 1.804635e-19, 2.085330e-19, 5.858358e-22, -1.648110e+02, 5.747149e-09, 4.284612e-10, -3.610466e-01, 7.886171e-02, -4.550529e-02 
4.610000e+01, 5.636352e-09, -2.069546e-09, 1.958216e-19, 1.894260e-19, -3.112197e-21, -1.644308e+02, 6.004289e-09, 4.439321e-10, -3.518957e-01, 7.224633e-02, -1.575426e-03 
